id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
97,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
98,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
99,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
100,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
101,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas,
102,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
103,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas Orientacion info_arg info_uru,
104,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
105,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Reino Unido,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
106,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
107,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
108,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
109,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Alemania,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,sube,
110,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
111,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Reino Unido,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion tango visitas,
112,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
113,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Canadá,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
114,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,Santa Fe,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion atractivos,
115,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Suiza,,,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion barrios,
116,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,Estados Unidos,,,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion instalaciones,
117,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
118,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
119,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,México,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
120,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,Brasil,,,3,No especifica,,,,,No especifica,No especifica,,Mapas,
121,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,Brasil,,,5,No especifica,,,,,No especifica,No especifica,,Mapas agenda_cultural visitas,
122,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,,,Formosa,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
123,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Italia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,bancos,
124,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
125,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
126,2017-01-02,planetario,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,sube,
127,2017-01-02,planetario,PALERMO,COMUNA 14,1,Chile,,,4,No especifica,,,,,No especifica,No especifica,,Orientacion,
128,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion apps,
